,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,POOCounty,IncidentSize,FireCause,Temperature,Precipitation
164,-122.61945832,42.567505286,2022/08/31 00:10:00+00,,,Jackson,,,72.2,0.01
165,-124.470569826,42.760282927,2022/06/20 22:21:59+00,,,Curry,,,59.6,0.13366666666666666
166,-123.326402889,42.3419496060001,2022/06/27 23:27:00+00,,,Josephine,,,59.7,0.08600000000000001
167,-118.773713864,45.6624158700001,2019/09/24 19:09:00+00,45.66241,-118.7737,Umatilla,0.3,Unknown,58.9,0.04866666666666666
168,-119.538013763,44.47440571,2014/07/30 00:30:00+00,,,Grant,,,68.3,0.013
169,-121.25834757,45.5888945140001,2016/07/04 02:26:00+00,,,Wasco,300.0,Human,65.6,0.017333333333333333
170,-122.43901409700001,43.73470538,2015/08/07 14:51:59+00,43.7347,-122.4395,Lane,0.1,Human,66.4,0.021666666666666667
171,-121.269736328,44.7613944490001,2020/09/26 22:18:59+00,,,Jefferson,,,62.3,0.011666666666666664
172,-121.668014143,44.6233055120001,2015/10/31 18:40:00+00,,,Jefferson,,,53.1,0.033
173,-121.18661396,44.063815522,2018/04/07 00:14:59+00,44.06381,-121.1866,Deschutes,0.1,Human,41.2,0.05466666666666666
174,-123.04101425299999,44.080005343,2015/12/01 23:16:59+00,44.08,-123.0409,Lane,,Undetermined,38.8,0.6986666666666667
175,-118.064613595,44.9404658870001,2020/10/28 23:54:54+00,44.93426,-118.0811,Baker,1.35,Human,48.9,0.03066666666666667
176,-123.188069829,44.063894217,2016/06/13 17:50:00+00,,,Lane,,,59.5,0.051
177,-122.733014057,43.261905321,2015/06/28 19:40:00+00,,,Douglas,,,65.6,0.018666666666666668
178,-123.16918093299999,44.0458386610001,2016/11/05 22:51:59+00,,,Lane,,,47.2,0.27
179,-123.240413976,42.342775214,2018/07/15 15:00:00+00,42.34277,-123.2404,Josephine,2.0,Natural,70.8,0.0013333333333333333
180,-121.606813945,43.6149754510001,2022/05/15 23:41:00+00,43.61529,-121.6051,Klamath,0.25,Undetermined,44.4,0.07766666666666668
181,-121.26751410700001,44.765838894000105,2021/07/13 08:00:00+00,,,Jefferson,,,71.7,0.0036666666666666666
182,-121.28701363100001,42.0653053710001,2014/06/19 20:58:59+00,,,Klamath,1361.0,Undetermined,55.3,0.019666666666666662
183,-120.344733499,42.188895464,2017/07/24 22:14:00+00,,,Lake,602.0,,69.2,0.008333333333333333
184,-123.542214059,42.5708452010001,2017/06/04 14:50:00+00,42.57084,-123.5422,Josephine,,Human,61.2,0.03966666666666666
185,-121.66201424,45.117505544,2014/07/22 01:44:00+00,,,Wasco,,,71.5,0.019
186,-118.59201383899999,45.6997058910001,2015/06/28 23:45:59+00,,,Umatilla,,,68.3,0.008666666666666666
187,-123.29281404299999,42.6914152320001,2017/10/18 18:33:59+00,42.69141,-123.2928,Josephine,0.1,Human,52.7,0.075
188,-118.590413255,42.506825645999996,2021/07/02 01:53:00+00,42.51338,-118.5952,Harney,11.0,Undetermined,74.2,0.006666666666666667
189,-121.883913805,42.556815353000005,2018/10/28 03:37:25+00,42.55162,-121.8868,Klamath,0.1,Unknown,46.2,0.03766666666666666
190,-123.20556954,42.422227445,2018/08/31 21:40:00+00,,,Jackson,,,68.6,0.0003333333333333333
191,-122.50501387,42.3686052830001,2015/06/09 16:31:59+00,,,Jackson,,,67.1,0.01633333333333333
192,-118.007235875,45.290283697000106,2018/07/17 01:28:00+00,,,Union,,,66.1,0.0013333333333333333
193,-121.27301410700001,44.76110556,2014/07/09 19:41:00+00,,,Jefferson,,,70.0,0.013333333333333334
194,-121.428314038,44.272065512,2018/08/18 01:53:41+00,44.26938,-121.5424,Deschutes,0.1,Unknown,63.2,0.0023333333333333327
195,-121.61418421100001,45.013615542,2018/11/01 19:51:59+00,,,Wasco,,,39.5,0.05666666666666665
196,-123.12234727100001,42.4193385300001,2022/08/14 15:59:59+00,,,Jackson,,,72.2,0.01
197,-121.670014206,44.9436166420001,2017/08/13 22:36:00+00,,,Wasco,,,72.5,0.006999999999999999
198,-121.271125217,44.759727782,2020/04/27 06:59:59+00,,,Jefferson,,,46.7,0.025
199,-123.08401396,42.383605231,2015/06/09 16:15:00+00,,,Jackson,,,67.1,0.01633333333333333
200,-124.088904092,42.2927851330001,2018/08/04 20:00:00+00,,,Curry,,,65.8,0.001
201,-122.788013869,42.1006052390001,2014/07/31 00:00:00+00,,,Jackson,,,72.6,0.012666666666666666
202,-123.50911404200001,42.4991152000001,2017/10/09 15:29:00+00,42.49911,-123.5091,Josephine,0.1,Human,52.7,0.075
203,-123.042014254,44.0856053430001,2015/12/02 00:01:59+00,44.0856,-123.042,Lane,,Undetermined,38.8,0.6986666666666667
204,-120.79001391700001,44.180605568000004,2015/08/08 22:40:00+00,,,Crook,,,66.1,0.0013333333333333333
205,-123.32101426,43.891405303999996,2015/12/02 23:10:59+00,43.8914,-123.3215,Lane,,Undetermined,38.8,0.6986666666666667
206,-122.91226396,42.541471957000105,2020/09/17 22:37:00+00,,,Jackson,,,66.2,0.013
207,-122.501413892,42.5070752930001,2017/09/06 22:44:59+00,42.50707,-122.5014,Jackson,0.1,Natural,62.1,0.03333333333333333
208,-121.346403004,44.743338883999996,2016/05/31 18:00:00+00,,,Jefferson,,,53.8,0.055999999999999994
209,-121.77001418399999,44.75000551000011,2014/07/31 17:00:59+00,,,Jefferson,,,70.0,0.013333333333333334
210,-117.866013291,43.4750057910001,2014/08/03 02:51:59+00,,,Malheur,,,69.2,0.018000000000000002
211,-123.709180946,43.49583854300001,2022/08/24 20:45:00+00,,,Douglas,,,70.1,0.004333333333333333
212,-117.81901348,44.5678058820001,2014/08/25 01:54:00+00,,,Baker,,,66.8,0.02666666666666667
213,-120.412013927,44.5639056310001,2014/10/14 23:03:00+00,,,Crook,,,51.5,0.03066666666666667
214,-121.650014232,45.0875055430001,2014/08/08 23:32:00+00,,,Wasco,,,69.2,0.018000000000000002
215,-121.96612532799999,44.7602832690001,2021/07/05 04:12:59+00,,,Marion,,,68.2,0.0003333333333333333
216,-122.64301383200001,42.008905246,2014/07/30 00:59:59+00,,,Jackson,,,72.6,0.012666666666666666
217,-121.28731403200001,44.363905532,2018/07/03 20:41:10+00,44.36311,-121.2208,Deschutes,0.1,Human,65.5,0.0006666666666666666
218,-122.765513883,42.2074152480001,2017/06/25 21:53:00+00,42.20932,-122.7695,Jackson,,Human,61.7,0.044
219,-121.55501414,44.698616638000004,2022/08/10 16:52:00+00,,,Jefferson,,,71.8,0.0026666666666666666
220,-124.11751422299999,43.0352273760001,2021/06/12 00:00:00+00,,,Coos,,,62.0,0.08966666666666666
221,-123.313914028,42.584445223,2018/06/29 16:38:59+00,42.58447,-123.3139,Josephine,1.0,Human,60.7,0.02633333333333333
222,-121.51112530700001,45.020283331,2020/08/23 00:01:59+00,,,Wasco,,,68.0,0.0013333333333333333
223,-123.47911401200001,42.3459751930001,2017/05/29 15:01:59+00,42.34597,-123.4791,Josephine,0.1,Human,55.8,0.04033333333333333
